father(Christopher, Arthur)
father(Christopher, Victoria)
father(Andrew, James)
father(Andrew, Jennifer)
father(James, Colin)
father(James, Charlotte)
father(Roberto, Emilio)
father(Roberto, Lucia)
father(Pierro, Marco)
father(Pierro, Angela)
father(Marco, Alfonso)
father(Marco, Sophia)

mother(Penelope, Arthur)
mother(Penelope, Victoria)
mother(Christine, James)
mother(Christine, Jennifer)
mother(Victoria, Colin)
mother(Victoria, Charlotte)
mother(Maria, Emilio)
mother(Maria, Lucia)
mother(Francesca, Marco)
mother(Francesca, Angela)
mother(Lucia, Alfonso)
mother(Lucia, Sophia)

husband(Christopher, Penelope)
husband(Andrew, Christine)
husband(Arthur, Margaret)
husband(James, Victoria)
husband(Charles, Jennifer)
husband(Roberto, Maria)
husband(Pierro, Francesca)
husband(Emilio, Gina)
husband(Marco, Lucia)
husband(Tomaso, Angela)

wife(Penelope, Christopher)
wife(Christine, Andrew)
wife(Margaret, Arthur)
wife(Victoria, James)
wife(Jennifer, Charles)
wife(Maria, Roberto)
wife(Francesca, Pierro)
wife(Gina, Emilio)
wife(Lucia, Marco)
wife(Angela, Tomaso)

son(Arthur, Christopher)
son(Arthur, Penelope)
son(James, Andrew)
son(James, Christine)
son(Colin, Victoria)
son(Colin, James)
son(Emilio, Roberto)
son(Emilio, Maria)
son(Marco, Pierro)
son(Marco, Francesca)
son(Alfonso, Lucia)
son(Alfonso, Marco)

daughter(Victoria, Christopher)
daughter(Victoria, Penelope)
daughter(Jennifer, Andrew)
daughter(Jennifer, Christine)
daughter(Charlotte, Victoria)
daughter(Charlotte, James)
daughter(Lucia, Roberto)
daughter(Lucia, Maria)
daughter(Angela, Pierro)
daughter(Angela, Francesca)
daughter(Sophia, Lucia)
daughter(Sophia, Marco)

brother(Arthur, Victoria)
brother(James, Jennifer)
brother(Colin, Charlotte)
brother(Emilio, Lucia)
brother(Marco, Angela)
brother(Alfonso, Sophia)

sister(Victoria, Arthur)
sister(Jennifer, James)
sister(Charlotte, Colin)
sister(Lucia, Emilio)
sister(Angela, Marco)
sister(Sophia, Alfonso)

uncle(Arthur, Colin)
uncle(Charles, Colin)
uncle(Arthur, Charlotte)
uncle(Charles, Charlotte)
uncle(Emilio, Alfonso)
uncle(Tomaso, Alfonso)
uncle(Emilio, Sophia)
uncle(Tomaso, Sophia)

aunt(Jennifer, Colin)
aunt(Margaret, Colin)
aunt(Jennifer, Charlotte)
aunt(Margaret, Charlotte)
aunt(Angela, Alfonso)
aunt(Gina, Alfonso)
aunt(Angela, Sophia)
aunt(Gina, Sophia)

nephew(Colin, Arthur)
nephew(Colin, Jennifer)
nephew(Alfonso, Emilio)
nephew(Alfonso, Angela)
nephew(Colin, Margaret)
nephew(Colin, Charles)
nephew(Alfonso, Gina)
nephew(Alfonso, Tomaso)

niece(Charlotte, Arthur)
niece(Charlotte, Jennifer)
niece(Sophia, Emilio)
niece(Sophia, Angela)
niece(Charlotte, Margaret)
niece(Charlotte, Charles)
niece(Sophia, Gina)
niece(Sophia, Tomaso)

